NewClass,Class1,Class2,PixCount,Area
1,1,1,771264,694137600.0
2,1,2,29907,26916300.0
3,1,3,114,102600.0
4,1,4,38677,34809300.0
5,1,5,42856,38570400.0
6,2,1,51564,46407600.0
7,2,2,313978,282580200.0
8,2,3,194,174600.0
9,2,4,130436,117392400.0
10,2,5,633,569700.0
11,3,1,153,137700.0
12,3,2,4,3600.0
13,3,3,33586,30227400.0
14,3,4,1456,1310400.0
15,3,5,2186,1967400.0
16,4,1,8394,7554600.0
17,4,2,379879,341891100.0
18,4,3,13566,12209400.0
19,4,4,1485242,1336717800.0
20,4,5,8711,7839900.0
